P30615	Pyruvate kinase 1
Q2YQ82	Arsenate reductase
P0C6Y1	ORF1ab polyprotein
P96084	Proline iminopeptidase
P96086	Tricorn protease
Q8F4I0	Homoserine O acetyltransferase
P04296	Infected cell protein 8
P04295	Terminase large subunit
A3DDY9	Glucose ribitol dehydrogenase
P04292	DNA polymerase
G8HXD9	NepR anti sigma factor
O75923	Fer 1 like protein 1
A0QSL5	30S ribosomal protein S13
A0QSL4	50S ribosomal protein L36
P00989	Beta 2 bungarotoxin
A0QSL6	30S ribosomal protein S11
A0QSL9	50S ribosomal protein L17
A0QSL8	Transcriptase subunit alpha
Q0SBK1	EUGENOL OXIDASE
B1MDQ6	Putative uncharacterized protein
P68400	CKII
P68401	PAF AH subunit beta
P00981	dendrotoxin K
P68403	Protein kinase C beta type
D0XCG4	Acyl carrier protein
Q8X9M2	30S ribosomal protein S15
Q4E2E0	60S ribosomal protein L35
Q5ZMW5	RHOGAP protein
P0DJY7	PROTEIN toxin
P53617	Protein NRD1
P53615	Carbonate dehydratase
P53619	Delta coat protein
A0A059WV44	AAC3 I
P00720#P41145	Lysozyme
P44681	YchF protein
P04745	alpha amylase 1
P21554#Q9V2J8	P21554:
P04746	PROTEIN alpha amylase
W6KHH6	Magnetosome protein MamB
D0X4R4	Enolase
P54965	Bile salt hydrolase
P54962	Allergen Bla g 4
Q12189	Ribose 5 phosphate isomerase
A0A0B4J271#P01848	TCR alpha chain TRAV12 3
Q12186	Zinc finger protein BBP
Q12184	Mitochondrial ferredoxin
P46844	Biliverdin IX alpha reductase
Q8LLW7	Vanadium haloperoxidase
P96621	EndoA inhibitor
Q9NQV7	PR domain zinc finger protein 9
P96622	Endoribonuclease EndoA
Q16873	Leukotriene C4 synthase
Q9NQV6	Tristanin
Q16875	HUMAN PFKFB3
P9WG63	Protein DipZ
Q05655	Protein kinase C delta type
P9WG67	MPT46
Q05652	DEATH DOMAIN OF pelle
P9WG65	Soluble secreted antigen MPT53
P42166	Thymopoietin isoform alpha
P45796	ENDO 14 BETA XYLANASE D
P45799	ADP compounds hydrolase NudE
Q9JLU4	SPANK 2
Q9SHH7	GST class tau member 25
Q6CKL3	uS5
P20839	IMPDH I
Q4QFJ7	Tyrosyl tRNA synthetase
B2Y2M9	polyprotein
Q9WYZ6	RNA binding protein Hfq
P03217	Shutoff alkaline exonuclease
P03212	Envelope glycoprotein L
Q86YS6	Ras related protein Rab 41
A5JQJ3	QDE 2 interacting protein
P03211	Epstein Barr nuclear antigen 1
O28163	3 METHYLADENINE DNA GLYCOSYLASE
Q10316	Arp2 3 complex 16 kDa subunit
Q10317	Mediator complex subunit 20
Q39ZI0	Geobacter metallireducens SMUG1
Q81NT5	Pyroglutamyl peptidase I
P11532	Dystrophin
Q8PMH0	FERREDOXIN NADP REDUCTASE
Q8ZB39	Aspartate carbamoyltransferase
Q96TU3	Extracellular exo inulinase inuE
P17906	Phosphoserine phosphatase RsbX
Q9VGH5	AT27789p
Q16254	Transcription factor E2F4
E1UYU0	AMP 2
Q9XY07	Arginine kinase
Q57265	capsule biosynthesis protein
P60484	Phosphatase and tensin homolog
Q57267	DNA binding protein HU
Q42369	Conglutin gamma
P13976	Endoribonuclease PemK
O14241	Arp2 3 complex 34 kDa subunit
Q99NH2	Ephrin interacting protein
D2YW39	rhodocetin subunit gamma
D2YW38	MHC
D2YW37	EST1E
Q60CN1	Glutathione S transferase
H8ZZK1	Apoberovin 1
Q5QTY1	Aminopeptidase N family protein
Q8PSA4	Uncharacterized protein
B4EL08	Phosphonomutase
P05919	Viral protein U
Q5SMF5	hypothetical protein TTHA0727
G8GWG8	VP2
Q582N2	60S RIBOSOMAL PROTEIN L4
Q7YT16	14 beta N acetylmuramidase 1
P0A6M2	Disulfide oxidoreductase
P0A6M4	D Tyr tRNATyr deacylase
Q96EL2	uS3m
Q96EL1	Protein FAM212A
P55769	OTK27
Q8KND6	CalO2
Q8KND7	Protein CalG3
F3Y661	Anthranilate CoA ligase
Q96NX5	CaM kinase I gamma
G1T3L2	eIF 3 p25
P51449	RAR related orphan receptor C
Q70ET4	FNR type regulator
Q6YFU0	ENVELOPE PROTEIN
B3TMR1	FAD dependent oxidoreductase
Q2UCU3	beta galactosidase A
F9VNL8	Peroxiredoxin like protein
B3TMR8	Sugar 3 ketoreductase
Q9P868	ENDOGLUCANASE 45A
P13395	Spectrin
P13393	TATA binding factor
P13390	Tail protein pb1
A8DG50	HCV NS3 1a protease
P34477	Ubiquitin protein ligase 7
P48443	Retinoid X receptor gamma
A0A0S2YLC8	Phosphoenolpyruvate synthase
P48449	Oxidosqualene lanosterol cyclase
Q03721	potassium channel
P65248	dTMP kinase
A9CLP4	hypothetical protein AGR_pAT_140
O51396	DNA gyrase subunit A
Q90623	PP1M subunit M110
P29218	Inositol 1or 4 monophosphatase 1
P49597	Protein phosphatase 2C 56
Q08605	Adh transcription factor 2
Q07409	Contactin 3
P12376	Copper resistance protein C
Q9Y2J2	Band 4.1 like protein 3
Q09882	Pre mRNA processing protein 45
A0A0H3KPJ9	Peptide deformylase
B6YXQ1	phosphopantothenate synthetase
P13020	Brevin
P13021	Aginactin subunit beta
P13022	CAP34
A0AVK6	Transcription factor E2F8
Q9RCK8	ANTIFUNGAL PROTEIN
P13029	peroxidase Catalase HPI
A5VWI3	Beta lactamase domain protein
A9CEK0	Short chain dehydrogenase
P10289	Porcine ileal peptide
P10287	Cadherin 3
P54646#Q13131	P54646:
Q2EMV9	Poly [ADP ribose] polymerase 14
P10282	Guanyl specific ribonuclease F1
F1QFM5	Uncharacterized protein
P0AC38	L Aspartate ammonia lyase
Q12404	Protein disulfide isomerase MPD1
Q12405	Lipase of peroxisomes protein 1
Q12400	tRNAm1G9 methyltransferase
O34968	Putative lipoprotein YerB
P52934	SPO0A
O34960	Uncharacterized protein YjgB
O34966	YcdH
P57725	SAM domain protein SAMSN 1
Q83DI6	Ribosome associated factor Y
P35705	Antioxidant protein 1
C4M3X7	Putative uncharacterized protein
P11880	D alanyl D alanine adding enzyme
P11881	Protein PCD 6
Q8CVW1	Outer membrane protein C
P11883	HTC ALDH
P11884	ALDH class 2
P11889	Cereolysin B
Q8NSR4	IMP dehydrogenase GMP reductase
Q5SL69	Thiamin monophosphate kinase
P95748	Tylosin biosynthesis protein M1
Q72C27	Thioredoxin reductase
Q4Q124	Adenosylhomocysteinase
F1P963	MTH1 protein
Q2FV61	Aminotransferase class I
Q6GDH2	Clumping factor B
A6LES9	Putative glycosylhydrolase
H9IUR0	EXD1
Q9XSH5	FK506 binding protein 5
A9YN66	Hemagglutinin
P78556	CC chemokine LARC
P78552	Cancer testis antigen 19
C5I2D9	Enantio pyochelin receptor
R4I4P2	Major capsid protein
Q62888	Neuroligin 2
G2QG48	FAD linked oxidase like protein
Q72L95	RNA polymerase sigma factor SigA
B8CYA8	Glycoside hydrolase family 1
Q6T418	plant defensin
G0S6G7	Coatomer subunit beta
D3XDN8	M50
Q01494	HET C2
Q01499	BVDV1 E2
Q47454	PcoC Copper resistance protein
Q47450	PapG protein
P68363	Tubulin alpha 1B chain
Q5U780	Triacylglycerol hydrolase
A1R3U3	Adenine deaminase
P50086	Proteasome non ATPase subunit 6
Q8NFD5	BAF250b subunit
P61972	Nuclear transport factor 2
P61970	Placental protein 15
P61978	protein HNRNP K
P11407	phospholipase A2 ammodytoxin C
Q61221	ARNT interacting protein
P58989	Crustacyanin A1 subunit
Q3ZTX8	Subtilase cytotoxin subunit B
P0CF51	9C2 TCR gamma chain
Q5DZX4	NH3 dependent NAD+ synthetase
Q5VV17	DUBA 7
P62100	PSII 4.8 kDa protein
Q8ZPU5	NH3 dependent NAD+ synthetase
Q24246	Protein short wing
Q9CSB4	PAR3 beta
P32169	Rhamnulose 1 phosphate aldolase
P20676	Nucleoporin NUP1
Q382J7	uncharacterized protein BDF5
Q8X5X6	Acetate CoA transferase YdiF
B3EWJ2	Lectin alpha chain
P24817	rRNA N glycosidase
A2A8L5	Leukocyte common antigen related
P33411	Pre mRNA splicing factor PRP18
P36421	Tyrosine tRNA ligase cytoplasmic
Q9NWB1	Ataxin 2 binding protein 1
Q6Q4F4	L asparaginase
P73504	Slr1438 protein
P21827	Pre mRNA processing protein 20
Q9HVD1	Lipid A deacylase PagL
E9BTG4	eS10
O02697	p120 PI3K
B3Y8K5	Anionic trypsin
P58328	BmK IV
B3Y8K6	Anionic trypsin
P60623	Stecrisp
P60624	50S ribosomal protein L22
Q8C437	PEX5 related protein
O30595#Q9X4L4	null#null
Q64UP6	Putative xylanase
Q29451	Lysosomal alpha mannosidase
Q6WKZ4	Rab coupling protein
Q2W014	Putative uncharacterized protein
Q8X9V6	Tellurite resistance protein
B1YNX3	UDP glucose pyrophosphorylase
Q8A1E9	Transcarbamylase
A0A0H2UUG0	Collagen like protein SclB
O86309	Arylamine N acetyltransferase
Q2M2I8	Adaptor associated kinase 1
Q401C5	Nucleoside diphosphate kinase
P03886	NADH dehydrogenase subunit 1
I7MD19	eS7
Q29983	MHC class I HOMOLOG MIC A
Q9NQX4	Unconventional myosin Vc
Q9NQX3	Gephyrin
P47244	Glucose phosphomutase 1
P0C6W3	ORF1ab polyprotein
P0C6W5	ORF1ab polyprotein
Q1L764	VP4
P07663	Period circadian Protein
P07662	GL 7 ACA acylase
D2CVN6	Telomerase associated protein 82
Q8U1X1	uncharacterized protein PF1083
E8T502	CARBONATE DEHYDRATASE
Q9H5I1	Lysine N methyltransferase 1B
Q9UY20	30S ribosomal protein S24e
O60481	Zinc finger protein ZIC 3
P84612	iron Superoxide dismutase
O67450	Replicative DNA helicase
Q6G1R9	M1G methyltransferase
O60486	Plexin C1
Q89ZI2	Beta N acetylglucosaminidase
Q83SQ0	LPS assembly protein LptD
Q4WM08	Exocellobiohydrolase B
Q83SQ2	diadenosinetetraphosphatase
Q6GMW1	Huzaf Antibody Light Chain
Q9S7B5	Threonine synthase
P25024	IL 8 receptor type 1
Q96W94	beta alanine synthase
P83963	TT1696 protein
B6WRT5	Uncharacterized protein
Q9BPZ2	Spindlin like protein 2B
Q9BPZ3	PAIP2 protein
Q6PFX9	Tankyrase 1
A9XRG9	Bcl 2 modifying factor
Q7UJS6	Adenylate cyclase homolog
Q4DA73	Spermidine synthase putative
O76064	RING finger protein 8
Q12QS6	Avidin streptavidin
Q74MF3	NEQ011
Q9D8B7	Junctional adhesion molecule 3
B0NC68	L iditol 2 dehydrogenase
Q1R4V1	Nucleoid occlusion factor SlmA
I7H471	Mannose recognizing lectin
P0AEY0#Q9I9N6	MMBP
P06132	Uroporphyrinogen decarboxylase
P06134	Ada Regulatory protein
Q5ZYB7	DotN
Q97WL0	Transcriptional activator TenA 1
Q86UY5	protein FAM83A
Q59922	Beta xylanase
F7IX06	Esterase
P68190	Myoglobin
B9PZF2	Ribosomal protein uS5
P34130	Neurotrophin 5
P83346	Bucain
E0EAD4	HMW1C like glycosyltransferase
Q3J1K7	Enoyl CoA hydratase
Q1G1I7	GDSL esterase
Q9YCJ0	Putative oxidoreductase
Q5T653	uL2
B4EPS2	Beta lactamase
Q9JHK5	Pleckstrin
Q8IDB0	40S ribosomal protein uS15
P0C0E6	Thymidine kinase
O68481	NosL protein
B1IBE1	Foldase protein PrsA
Q4WZ11	Elastase inhibitor AFUEI
O26153	Isopentenyl phosphate kinase
G0RZL9	Utp12
D0LID6	Microcompartments protein
Q9A119	X PRO dipeptidase
P57005	Superoxide dismutase [Cu Zn]
P00471	Thymidylate synthase
P24043	Merosin heavy chain
Q5SBM0	Inactive glucansucrase
Q71EW5	Acetylene hydratase Ahy
P08660	Aspartate kinase III
P08661	Mannose binding protein C
Q5SKW5	ADP ribose pyrophosphatase
E7EDQ7	Eight heme nitrite reductase
P08668	Glycoprotein precursor
P08669	glycoprotein
Q9X0A3	hypothetical protein TM1010
P02904	Transcarboxylase 1.3S subunit
Q7CRA4	PENICILLIN BINDING PROTEIN 1B
P02906	Sulfate binding protein
P76290	tRNA cmo5U34 methyltransferase
P76291	tRNA mo5U34 methyltransferase
Q8WVQ1	Apyrase
P03367#Q1G1C3	P03367:
Q9RCV4	Putative TetR family regulator
P37792#Q04866	Q04866:
Q9WU70	M Tomosyn ISOFORM
Q61823	Programmed cell death 4 Pdcd4
Q87PC4	Ribosome modulation factor
Q53WJ1	Os05g0196500 Protein
C0RH19	Ornithine carbamoyltransferase
M9XM90	Capsid protein VP1
Q98157	vMIP 1B
Q3IXZ6	BETA IG H3 FASCICLIN
P44206	Uncharacterized protein HI_1472
P90463	Thymidylate synthase
Q81RW6	Amidase
Q3JKE9	Malate dehydrogenase
Q6ZYJ9	PYRSV_GP04
Q9LBQ9	glucodextranase
Q6ZYJ4	HYPOTHETICAL PROTEIN ORF137
A0EKU1	Genome polyprotein
Q6ZYJ2	HYPOTHETICAL PROTEIN ORF239
O60104	Mediator complex subunit 7
P08083	Colicin N
Q8WUP2	Migfilin
Q65CX5	Glycosyl Hydrolase Family 53
O00217	Complex I 23kD
Q7T291	ADPRibase Mn
O15305	Phosphomannomutase 2
Q5I7L5	60S ribosomal protein L36E
P82922	Death associated protein 3
P82921	bS21m
P40458	Extracellular mutant protein 37
P41181	Aquaporin 2
P41182	B cell lymphoma 5 protein
O57895	Hypothetical protein PH0156
A7UY07	Uncharacterized protein
C4M483	G protein alpha subunit
G0S1A6	40S ribosomal protein S4
Q9Y5S9	Ribonucleoprotein RBM8A
A0A060P168	3 5 exonuclease PhoExo I
P48026	Putrescine acetyltransferase
Q9Y5S1	Osm 9 like TRP channel 2
Q6NK34	Putative phage capsid protein
Q83A21	PCA reductase
Q80J37	polyprotein
Q99627	COP9 homolog
Q9ULV1	Frizzled 4
P0A9G8	Transcriptional regulator ModE
Q8U306	RNase l inhibitor
O74035	Ribonuclease HII
Q9UUN9	Aldehyde reductase 2
P04880	Phosphoprotein
A0A0H2ZTL3	Enoyl CoA hydratase
O24313	WBA I
Q9I6J0	Polyamine transport protein
I6Y8F7	DNA binding protein
P03355	REVERSE TRANSCRIPTASE
P03354	Virus Matrix PROTEIN
Q7N4Z6	Ketosynthase StlD
E1B792	Chloride channel protein
Q7MVF6	Hypothetical protein PG_1108
P06956	PROTEIN cre Recombinase
A0A109C781	periplasmic binding protein
Q8IU60	mRNA decapping enzyme 2
B3PDB1	D mannonate dehydratase
Q994K2	Envelope glycoprotein gp160
Q2PCE5	Carboxylesterase
Q9FLN8	IAA carboxylmethyltransferase 1
P00268#P35414	P35414:
B0RN69	Exported gluconolactonase
P08392	Infected cell protein 4
Q155Q3	Coiled coil protein DIX1
P33354	Hypothetical lipoprotein YehR
Q9Y854	Ubiquitin fusion protein
Q4DZ41	40S ribosomal protein S3a 2
Q91992	Antifreeze protein type II
A0R3E2	Methionine tRNA ligase
A4JN42	Beta lactamase
Q06KA5	14.4 kDa salivary protein
P45984	JNK 55
P45985	SAPK ERK kinase 1
Q149C2	TRAF3 interacting protein 1
O15194	RBSP3
Q8TDM6	HUMAN Discs large 5 protein
P38580	Carnocin CP52
P38582	Carnocin CP52 immunity protein
A4F7P3	GLYCOSYLTRANSFERASE
P38584	Tubulin tyrosine ligase
Q6W9E5	VP4
Q51714	Prolyl endopeptidase
Q6PI79	Histone H3
Q9HXM1	Acetoin utilization protein
O77077	Acyl carrier protein
D1MC98	Aggregation suppressing protein
Q7WZI9	Penicillin G amidase
P69168	Minor coat protein
Q7WZI1	Crystal protein
Q8NBZ7	UDP glucuronate decarboxylase 1
Q9UWR2	Clamp loader large subunit
O58056	GAR transformylase 2
A1ZAW0	Dicer 2 isoform A
P62775	Protein V 1
Q52060	Acetaldehyde dehydrogenase
F2Z508	Stathmin
P0A3S3	Competence specific nuclease
P26535	Major capsid protein L1
B4XN22	Interferon gamma receptor 1
Q9FLI7	AT5g51720 MIO24_14
B2JCQ1	ABC transporter related
P9WIU5	Outer membrane protein A
P9WIU7	Diaminopimelate decarboxylase
A6G7B1	HALOALKANE DEHALOGENASE
Q57WT9	Asparagine synthetase a
Q97SR4	Isoprenyl transferase
Q9NQC7	Ubiquitin thioesterase CYLD
Q9NQC3	Foocen
Q9H8W5	RING finger protein 99
Q9C0A0	Cell recognition molecule Caspr4
A0A0E0TE00	ScpB
P39678	MLU1 BOX BINDING PROTEIN
F6DII0	30S ribosomal protein Thx
P28012	Chalcone flavonone isomerase 1
Q60695	RGL
Q8U1C6	hypothetical protein
P28015	Stage V sporulation protein G
A8R0K5	Aminotransferase
Q38998	Potassium channel AKT1
Q44534	LEUCINE RICH REPEAT VARIANT
P24021	Endonuclease S1
Q9TZQ3	P granule abnormality protein 1
C5MVT7	Hemagglutinin
P0CE80	Dermonecrotic toxin 1
Q5NMB8	Inositol monophosphatase
P17811	Plasminogen activator
P17812	CTP synthase 1
Q27701	Anhydroneuraminidase
P05373	Porphobilinogen synthase
P01468	gamma Cardiotoxin
P01467	CTX M1
Q9ZFS5	EXOTOXIN 1
P12060	Pilin
Q97TX9	Uncharacterized protein
Q9ZCQ4	Fumarate hydratase class II
Q8IZX4	TBP associated factor 1 like
Q4KKF5	GGDEF domain protein
P68617	Protein A33
Q9ZFS6	SET3 superantigen like protein
Q97TX6	Tryptophan synthase beta chain 2
Q45340	BrkA autotransporter
O08989	Ras related protein M Ras
Q88FB1	Dihydrolipoyl dehydrogenase
P52778	Protein LlR18A
Q9P286	p21 activated kinase 7
O09053	Exonuclease WRN
A1JSR8	Flagellar protein FliT
Q9P289	MST3 and SOK1 related kinase
C3SSG7	50S ribosomal protein L27
C3SSG2	50S ribosomal protein L21
B1YQF4	Taurine dioxygenase
B3STU4	7S vicilin
P73745	Sll0855 protein
P45611	Phosphocarrier protein
P42641	GTP binding protein Obg
A0A077UXT4	50S ribosomal protein L33
P45618	EIIA Glc
Q38062	PHAGE COAT PROTEIN
Q83EV9	Pantothenic acid kinase
Q9KAM0	Penicillin binding protein
G1TUT9	uS5
B5LYJ9	Lectin
Q9QCE3	3D polymerase
Q748S4	cytochrome c putative
Q9QCE4	RNA dependent RNA polymerase
Q04736	p61 Yes
Q12068	Isovaleraldehyde reductase
B0MKR4	Uncharacterized protein
Q9X0G6	Pantothenate synthetase
P29320	Ephrin receptor
P16233	lipase
Q5NG89	DAHP synthase
B1Q4V2	Ribonuclease T1
Q9P243	Zinc finger protein 406
Q2K273	phosphoglycerate oxidoreductase
Q02779	Mixed lineage kinase 2
Q5ZTF2	hypothetical protein
Q46106	Bacterial non heme ferritin
Q02770	Rotamase CWC27
O28085	AfJAMM
Q9AZ58	ORF46
Q16938	Anti coagulant PROTEIN C2
P12940	Bowman Birk trypsin inhibitor
P12943	Periplasmic hydrogenase
P12944	Periplasmic hydrogenase
Q8GGH0	Regulatory protein
Q9WJ31	PUUMALA VIRUS GN GLYCOPROTEIN
P10891	Insect defensin A B
A0QXD6	L xylulose reductase
Q14680	Protein kinase Eg3
P19576	MMBP
Q819K2	Polypeptide deformylase 2
P19571	Glucan 14 alpha maltohexaosidase
P19573	N2O reductase
P11762	Galectin 1
P11766	Alcohol dehydrogenase class III
P12493	PROTEIN P6
Q8EKT7	GLUTATHIONE UPTAKE TRANSPORTER
P21668	Beta globin
P12497	Pr160Gag Pol
P12495	Pr55Gag
Q9S7T8	Serpin ZX
P12499	Aspartyl PROTEASE
P44569	NAD nucleotidase
P44568	Ribosome maturation factor RimM
P50213	NAD+ specific ICDH subunit alpha
P50216	Isocitrate dehydrogenase [NADP]
Q739E5	uncharacterized protein BCE2196
F1S3J8	MITORIBOSOMAL PROTEIN UL4M MRPL4
Q97XZ3	Dihydrolipoyl dehydrogenase
Q97F65	Thymidine kinase
Q7A224	Antitoxin HigA
O67611	Acyl carrier protein
O67610	Beta ketoacyl ACP reductase
O56137	Capsid protein VP1
P02649#Q07954	Alpha 2 macroglobulin receptor
Q83AY9	GAR transformylase
Q0S914	Transcriptional regulator
D6MSX4	SsfS6
O58863	hypothetical protein PH1136
O84671	Adenylate cyclase like protein
I6V0B8#P0AEX9	MMBP
Q6MTB9	FtsY
O84677	Putative uncharacterized protein
P49610	Beta N acetylhexosaminidase
Q15796	JV18 1
P17383	E2 protein
Q9YAH1	Carbamate kinase
Q9JII6	Alcohol dehydrogenase [NADP+]
P60911	Histidyl tRNA synthetase
Q06259	Protein kinase doc
Q9S5Y7	aminotransferase
Q06253	Antitoxin phd
Q6ZSG1	RING finger protein 165
P07996#Q8WR51	Peptide O fucosyltransferase 2
A0A0J9X215	US13
P12238	PSII reaction center subunit V
P12239	Cytochrome b559 subunit beta
Q02487#Q14126	Desmocollin 3
Q92CZ6	Lin1025 protein
Q9VWX8	FREQUENIN 2
P13727	Proteoglycan 2
P13726	PROTEIN SOLUBLE Tissue factor
P13725	Oncostatin M
Q9VDH5	RE06730pCG3822
A7B0S2	hypothetical protein
P9WQ36	Fatty acyl CoA ligase
P9WQ37	Fatty acyl CoA ligase
P9WQ35	Adenylyl cyclase
Q29361	ribosomal protein uL29
P19651	Sh1
C5P455	Tyrosine tRNA ligase
A1RA60	Uncharacterized protein
O58246	hypothetical protein PH0510
A5FB66	RagB SusD domain protein
Q7SQ48	Envelope glycoprotein gp160
Q9UL15	Bcl 2 associated athanogene 5
Q96CG3	TRAF2 binding protein
Q9UL18	Putative RNA binding protein Q99
Q9UL19	HRAS like suppressor 4
Q80J95	Murine Norovirus VPg protein
Q9EA60	Polymerase acidic protein
O53943	EspG5
Q93J45	renal Dipeptidase
O44342	Protein windbeutel
Q9NP64	Nucleolar protein of 40 kDa
A0QV09	ALDO KETO REDUCTASE
P56689	DNA polymerase
A9CHP8	Protein regulated by acid pH
P56682	AMCI
P56681	Xylose isomerase
P56680	Endoglucanase I
Q8ZUR6	PYRUVATE DEHYDROGENASE E2
P56684	Androctonin
E6Z0R4	VbhA
E6Z0R3	VbhT
P07528	Endo 14 beta xylanase A
P0DP29#P11799#P42212	P11799:
P24203	Hypothetical protein YjiA
Q8NL33	Putative uncharacterized protein
Q9HGR1	PaMTH1 Methyltransferase
Q38895	SUPERMAN protein
Q9ZF13	PROTEIN BETA MANNANASE
Q9Y266	Nuclear migration protein nudC
Q9Y265	INO80 complex subunit H
P94622	ENDO 14 BETA GLUCANASE ENGF
Q9Y261	Hepatocyte nuclear factor 3 beta
P28750	Maternal protein exuperantia
O43914#P26717	NK cell receptor C
P0A7N4	50S ribosomal protein L32
Q9FIP9	Basic helix loop helix protein 5
P0A7N9	50S ribosomal protein L30
P22336	Replication factor A protein 1
Q6IMI6	SULT1C3 splice variant d
P76053	Probable DNA endonuclease SmrA
Q81Z55	General stress protein 26
G0SHM3	separase
I6L927	Lipoprotein
Q2YKI4	Ferroxidase
Q2YKI6	Basic membrane lipoprotein
A1TY82	CYTOCHROME P450
Q9GZN7	Protein rogdi homolog
P21589	Ecto 5' nucleotidase
P9WH69	R2 like ligand binding oxidase
P21583	Stem cell factor
P21580	Zinc finger protein A20
Q7Z5Q5	DNA polymerase nu
O32148	Purine catabolism protein PucG
Q8TDP1	Ribonuclease HI subunit C
Q46938	5 keto 4 deoxyuronate isomerase
O32142	Transthyretin related protein
P52584	VEGF E
G0SGL4	Putative SAC3 family protein
O43776	Asparaginyl tRNA synthetase
P25401	Chaperone protein FaeE
K0IB23	Oxygenase reductase
A0A0H2ZP28	DACB
P58822	Polygalacturonase inhibitor 2
Q7NWW7	Xylulokinase
P35579	Myosin 9
P35570	pp185
Q71SY5	Mediator complex subunit MED25
D3QTD7	30S ribosomal protein S13
Q8BHN3	Alpha glucosidase 2
Q51742	Ornithine carbamoyltransferase
Q2FIA5	Coenzyme A disulfide reductase
E7KFU1	Gsp1p
D0EMB6	Enterotoxin SEG
Q880Y4	PSPTO_3016 protein
O69262	ALPHA L ARABINOFURANOSIDASE
P43487	Ran binding protein 1
O75306	Complex I 49kD
C2TQ79	Uncharacterized protein
P25644	mRNA turnover protein 1
P0DJ60	60S ribosomal protein L19
P0DJ61	60S ribosomal protein L39
Q23DE3	40S ribosomal protein S3a
P25642	mL49
Q2PQJ3	Thrombin like enzyme BjussuSP I
O87696	Cobalt precorrin 3 methylase
A0A0B5KQQ5	MGS MT1
B1IV40	Dihydroorotase
Q59560	Recombinase A
E3F069	Sorbose dehydrogenase
Q39487	12kD storage protein
P61830	Histone H3
P61831	Histone H3
P20236	GABAA receptor subunit alpha 3
P20231	Tryptase II
P20230	Defensin like protein 1
Q7LZ09	Lebetin 2 isoform alpha
Q08FX8	ANTIAPOPTOTIC MEMBRANE PROTEIN
Q81Q29	D alanylalanine synthetase
P26175	Mg protoporphyrin IX chelatase
B2RHG4	Immunoreactive 32 kDa antigen
P23526	S ADENOSYLHOMOCYSTEINE hydrolase
P23528	18 kDa phosphoprotein
Q9H2C0	Kelch like protein 16
P9WNG3	MtFabH
Q9NRW3	Phorbolin I
P37807	50S ribosomal protein bL28
A9AE46	8 amino 7 oxononanoate synthase
O31629	Putative phosphoesterase YjcG
O31628	similar to hypothetical proteins
Q8N608	Inactive Dipeptidyl peptidase 10
P24937	Pre protein VI
P40073	Suppressor of SUA8 1 mutation
P40079	LCP5
